assetId,tokenNumber,name,text,score,imagePath
H2iGB4aBxfjgYiZ24w2YJiK1a99WwZAgxVZ63Mq193k9,4284,drifella 2 #4284,PILLS,0.9746394276618957,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H2iGB4aBxfjgYiZ24w2YJiK1a99WwZAgxVZ63Mq193k9/image.png
H29zp7VTgVmTEBTg5Q1kKDSVk2mVvxtcsyqvPin4cAc4,2286,drifella 2 #2286,Cannotuse this item offline,0.9779780890260424,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H29zp7VTgVmTEBTg5Q1kKDSVk2mVvxtcsyqvPin4cAc4/image.png
H29zp7VTgVmTEBTg5Q1kKDSVk2mVvxtcsyqvPin4cAc4,2286,drifella 2 #2286,Do W,0.9691549688577652,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H29zp7VTgVmTEBTg5Q1kKDSVk2mVvxtcsyqvPin4cAc4/image.png
H29zp7VTgVmTEBTg5Q1kKDSVk2mVvxtcsyqvPin4cAc4,2286,drifella 2 #2286,or go,0.9299679398536682,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H29zp7VTgVmTEBTg5Q1kKDSVk2mVvxtcsyqvPin4cAc4/image.png
H2DJ5tfhH2XxHqStDk4b6HMXJsz5anxzF358P5eRaoEK,291,drifella 2 #291,SHE WANT ME CUZ,0.9573614637056986,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H2DJ5tfhH2XxHqStDk4b6HMXJsz5anxzF358P5eRaoEK/image.png
H2DJ5tfhH2XxHqStDk4b6HMXJsz5anxzF358P5eRaoEK,291,drifella 2 #291,IM NORMAL,0.9807181027200487,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H2DJ5tfhH2XxHqStDk4b6HMXJsz5anxzF358P5eRaoEK/image.png
H2DJ5tfhH2XxHqStDk4b6HMXJsz5anxzF358P5eRaoEK,291,drifella 2 #291,STANLE,0.9880957106749216,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H2DJ5tfhH2XxHqStDk4b6HMXJsz5anxzF358P5eRaoEK/image.png
H28o9Gz9GqQRM4zvQCyKXzb2DPErw3ZZbumuxvEzutwd,5739,drifella 2 #5739,Shoalence of the lambs,0.8116396902637049,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H28o9Gz9GqQRM4zvQCyKXzb2DPErw3ZZbumuxvEzutwd/image.png
H28o9Gz9GqQRM4zvQCyKXzb2DPErw3ZZbumuxvEzutwd,5739,drifella 2 #5739,RLR,0.7564424723386765,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H28o9Gz9GqQRM4zvQCyKXzb2DPErw3ZZbumuxvEzutwd/image.png
H28o9Gz9GqQRM4zvQCyKXzb2DPErw3ZZbumuxvEzutwd,5739,drifella 2 #5739,Lean.4,0.6991403188024249,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H28o9Gz9GqQRM4zvQCyKXzb2DPErw3ZZbumuxvEzutwd/image.png
H2C89PLEFBoL4YWe5ASMncKgbK6wZpKFZLkvBo449Jz1,2422,drifella 2 #2422,YOURE AFAG,0.9407431483268738,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H2C89PLEFBoL4YWe5ASMncKgbK6wZpKFZLkvBo449Jz1/image.png
H2C89PLEFBoL4YWe5ASMncKgbK6wZpKFZLkvBo449Jz1,2422,drifella 2 #2422,AND YOUR,0.9573738798499107,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H2C89PLEFBoL4YWe5ASMncKgbK6wZpKFZLkvBo449Jz1/image.png
